applied,applied_on,match_feedback,score,title,company,location,url,frozen_score,legacy_score,percentile,band,jd_difficulty,must_coverage,missing_must,top_gaps,score_flags,sub_scores,company_tier,company_basis,company_evidence,source,apply_channel,salary_min,salary_max,updated_at,resume_docx,resume_pdf,tailored_summary,bullets_to_lead_with,rewritten_bullets,keywords_to_add_if_true,fit_exact,fit_partial,fit_gaps,outreach_note,change_log,honest_gap_note,missing_keywords,exp_verdict,exp_confidence,exp_required,exp_why,description_snippet
no,,,42,Product Manager,BitDelta,"Mumbai, Maharashtra",https://www.adzuna.in/details/5871787935?utm_medium=api&utm_source=195aa6d0,46,49,16,weak,0.08,0/0,,"[{""need"": ""digital asset trading"", ""gain"": 10}, {""need"": ""security"", ""gain"": 10}, {""need"": ""transparency"", ""gain"": 10}]",,"{""skill_match"": 0.4, ""experience_fit"": 0.85, ""domain"": 0.25, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-05T16:09:15Z,data/resumes/2026-09-06/BitDelta_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-09-06/BitDelta_Product_Manager/Mehul_Agarwal.pdf,"Product manager with 4+ years of experience across digital product, growth, and user journey optimization in fintech and financial platforms. Proven track record of scaling digital applications and matching engines while driving user conversion, engagement, and retention. Skilled in end-to-end product lifecycle management, data analytics, and delivering seamless user experiences. Experienced in managing cross-functional teams to build secure, transparent, and high-performance digital platforms.","[""Rebuilt the application journey with UI/UX — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing."", ""Lifted conversion 23% and user acquisition 14% by instrumenting the journey in Google Analytics and CleverTap, isolating the cohorts that dropped, and sequencing fixes by revenue impact rather than ticket count."", ""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate.""]","[{""original"": ""Rebuilt the application journey with UI/UX — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing."", ""rewritten"": ""Rebuilt the user application journey with UI/UX design — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing.""}, {""original"": ""Lifted conversion 23% and user acquisition 14% by instrumenting the journey in Google Analytics and CleverTap, isolating the cohorts that dropped, and sequencing fixes by revenue impact rather than ticket count."", ""rewritten"": ""Lifted user conversion 23% and user acquisition 14% by instrumenting the platform journey in Google Analytics and CleverTap, isolating the user cohorts that dropped, and sequencing fixes by revenue impact rather than ticket count.""}]","[""user experience"", ""product management"", ""users"", ""product lifecycle management""]","[""Product management and UX design capabilities"", ""Experience with user journey optimization and conversion"", ""Cross-functional team leadership""]","[""Focus on user experience and platform design (CV demonstrates strong UX and user journey work, but in a digital lending context rather than digital asset trading)""]","[""Experience in digital asset trading platforms or cryptocurrency""]","Hi, I saw BitDelta's focus on user experience and transparent digital asset trading. With 4+ years scaling digital platforms and improving user conversion journeys by 23% at Bajaj Finance, I'd love to discuss how I can contribute to your product team.",Summary rewritten for this JD; 2 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Home Loans,The CV does not demonstrate any direct experience in digital asset trading platforms or cryptocurrency.,"bitdelta, asset, trading, users, secure, experienced, indian, focus, security, transparency, make, clearer",unknown,unknown,,no experience requirement found in the available text,"About the Company: BitDelta India is a technology led digital asset trading platform built for Indian users, with a focus on security, transparency, and user experience. The platform is designed to make digital asset trading clearer, more secure, and easier to navigate for both new and experienced users. Backed by experienced fintech and technology professionals, BitDelta India combines secure infrastructure, intuitive product design, and a responsible approach to support India’s growing digita…"
no,,,41,Junior Product Manager - Decision Intelligence | Collections,Sayyam Investments,"Bengaluru, Karnataka",https://bebee.com/in/jobs/junior-product-manager-decision-intelligence-collections-sayyam-investments-bengaluru--t7xk-806482382?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,47,48,34,weak,0.41,0/4,"Collections processes understanding, Building PRDs and product workflows, Working with Data Science and Analytics teams, Technology integrations and APIs","[{""need"": ""Collections processes understanding"", ""gain"": 7}, {""need"": ""Building PRDs and product workflows"", ""gain"": 7}, {""need"": ""Working with Data Science and Analytics teams"", ""gain"": 7}, {""need"": ""Technology integrations and APIs"", ""gain"": 7}, {""need"": ""Decision Intelligence"", ""gain"": 3}]",,"{""skill_match"": 0.1923, ""experience_fit"": 1.0, ""domain"": 0.5, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,serpapi,aggregator,,,19 days ago,data/resumes/2026-09-06/Sayyam_Investments_Junior_Product_Manager_Decision_Intellig/Mehul_Agarwal.docx,data/resumes/2026-09-06/Sayyam_Investments_Junior_Product_Manager_Decision_Intellig/Mehul_Agarwal.pdf,"Product manager with 4+ years of experience across digital product, consumer lending, and business rules engines at Bajaj Finance. Built matching engines and decision systems that route leads against credit criteria, defining rules, workflows, and PRDs across cross-functional pods. Experienced in translating complex business requirements into scalable product solutions and collaborating with analytics, engineering, and external partners.","[""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate."", ""Run the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against.""]","[{""original"": ""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate."", ""rewritten"": ""Designed and shipped business rules and matching engines that score ~90,000 leads/month against credit criteria and route each lead based on decision logic, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate.""}, {""original"": ""Built a lead-reassignment model that re-routes customers declined by their first partner to the next-best match on the priority list, recovering demand that would otherwise be lost and raising overall utilisation of every lead acquired."", ""rewritten"": ""Built an intelligent lead-reassignment and routing model that re-routes customers declined by their first partner to the next-best match on the priority list, recovering demand and raising overall utilisation of every lead acquired.""}, {""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — working closely with engineering, analytics, and business stakeholders to translate requirements into product solutions.""}]","[""Product Management"", ""Business Rules Engines (BRE)"", ""PRDs"", ""Data Analysis"", ""Stakeholder Management"", ""Agile/Scrum"", ""Process Automation""]","[""Building decision rules, logic, workflows, and PRDs for platform solutions"", ""Collaborating with Engineering, Analytics, Data Science, and business stakeholders"", ""Working with internal and external data sources and technology partners""]","[""Decision intelligence and matching engines: CV demonstrates building business rules engines and lead routing systems for lending, but not specifically for collections portfolios."", ""Data-driven decision systems: CV shows scoring leads and handling credit criteria, but lacks direct experience in debt recovery or collection strategies.""]","[""Hands-on collections domain experience, including early/late bucket collections, NPA recovery, and PTP conversion""]","Hi, I built a lead matching and decision engine at Bajaj Finance handling 90,000+ leads/month against complex credit criteria. My background in PRDs, decision logic, and cross-functional product delivery aligns closely with your Decision Intelligence platform roadmap. Let's connect!",Summary rewritten for this JD; 3 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Home Loans,"The CV demonstrates building decision and matching engines for loan origination and digital acquisition, but lacks hands-on experience in collections and debt recovery workflows.","collections, decision, intelligence, external, improvement, collection, recovery, closely, understand, decisions, sources, science",good_fit,stated,2-4,"asks for 2-4 years, you have 4","Job Summary
We are looking for a Junior Product Manager - Decision Intelligence to help build a next-generation Collections Intelligence Platform from 0 to 1.
The platform will act as an intelligence layer for collections, helping collection managers, business teams, Credit Risk, Finance and senior leadership make data-driven decisions to improve collection efficiency and recovery outcomes.
The platform will combine multiple data sources, analytics, business rules and predictive/AI-ML models to answer critical collections questions such as:



Who should be contacted
When should they be contacted
Which channel should be used
What collection strategy or treatment should be applied
Which agent should handle the customer
When should a case be escalated
What is the most effective action to maximise recovery

This is a hands-on product role that will work closely with Collections, Credit, Risk, Data Science, Engineering, Analytics, Operations and external technology partners to translate complex collections requirements into scalable product solutions.
The platform will initially support a single lending product and will subsequently scale across multiple lending products.
Job Details

Job Level: Junior
Department: Product / BIU
Location: Bengaluru
Employment Type: Full Time
Experience Required: 2-4 Years
Job Type: Onsite
Reports To: Senior Product Manager

What You'll Work On

Build the Decision Intelligence Platform from 0 1

Work closely with the Product Manager to build the collections intelligence platform from concept to launch.
Deeply understand collections processes, challenges and decision-making frameworks.
Translate business and collections requirements into clear product requirements.
Identify opportunities where data, analytics, rules and models can improve collections outcomes.
Contribute to defining product workflows, decision journeys and system requirements.
Help build a scalable platform that can eventually support multiple lending products.


Build Int"
no,,,30,nCino Product Owner/Business Analyst - Lending - M/SM Level,People First Consultants,"Chennai, Tamil Nadu",https://www.adzuna.in/details/5872751490?utm_medium=api&utm_source=195aa6d0,33,38,9,weak,0.29,0/3,"nCino, Salesforce Knowledge with nCino ecosystem, Commercial /Retail Lending domain expertise","[{""need"": ""nCino"", ""gain"": 8}, {""need"": ""Salesforce Knowledge with nCino ecosystem"", ""gain"": 8}, {""need"": ""Commercial /Retail Lending domain expertise"", ""gain"": 8}, {""need"": ""Refining requirements"", ""gain"": 4}, {""need"": ""Managing backlog"", ""gain"": 4}]",Unverifiable mandatory gate — confirm manually: Notice period - Immediate or upto 60 days,"{""skill_match"": 0.1714, ""experience_fit"": 0.85, ""domain"": 0.25, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-06T10:45:32Z,data/resumes/2026-09-06/People_First_Consultants_nCino_Product_Owner_Business_Analyst_Len/Mehul_Agarwal.docx,data/resumes/2026-09-06/People_First_Consultants_nCino_Product_Owner_Business_Analyst_Len/Mehul_Agarwal.pdf,"Product manager with 4+ years of digital lending, workflow optimization, and cross-functional product ownership experience at Bajaj Finance. Built and scaled complex lending application journeys, business rules engines, and lead allocation workflows handling ~90,000 leads/month. Experienced in requirement gathering, backlog management, cross-functional stakeholder coordination, and end-to-end product delivery in retail lending.","[""Own the business side of digital acquisition for the mortgage portfolio (Home Loans, LAP, Balance Transfer, Top-up), carrying the disbursal number for an online channel at ~₹100 Cr/month (~₹1,200 Cr annualised), up from ~₹80 Cr, against a full-year mandate of ~₹1,500 Cr."", ""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate."", ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status.""]","[{""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Managed the full product lifecycle and backlog for platform releases — requirement gathering, PRDs, design, build, QA, deployment, and post-launch iteration — collaborating with cross-functional teams and Engineering on scope, trade-offs, and release status.""}, {""original"": ""Owned the Personal Loan digital platform (app and web) at ~15 lakh Form-1 submissions/month, turning business and credit requirements into shipped capability while the channel scaled from ~₹400 Cr to ~₹1,100 Cr in monthly disbursals through a period of sector-wide tightening in consumer credit."", ""rewritten"": ""Owned the Personal Loan digital platform (app and web) at ~15 lakh Form-1 submissions/month, refining business and credit requirements into shipped lending workflow capabilities while scaling monthly disbursals from ~₹400 Cr to ~₹1,100 Cr.""}]","[""Commercial /Retail Lending"", ""Cross-functional teams"", ""Requirement gathering"", ""Backlog management""]","[""Commercial /Retail Lending domain expertise"", ""Experience working with cross-functional teams"", ""Requirement gathering and backlog management experience""]","[""Product ownership and business analysis experience in lending workflows (demonstrated in digital lending platforms and rule engines at Bajaj Finance, but specific agile backlog tools like Azure DevOps are used rather than explicitly matching the title of PO/BA).""]","[""Hands-on nCino experience"", ""Salesforce Knowledge with nCino ecosystem""]","Hi, I have 4+ years in digital lending and retail credit at Bajaj Finance, owning lending application journeys, credit rules engines, and cross-functional product delivery. While I have deep lending workflow experience, I wanted to connect regarding your nCino requirements. Let's discuss if my background fits.",Summary rewritten for this JD; 2 bullet(s) reworded to JD vocabulary (metrics preserved verbatim),The CV does not demonstrate hands-on experience with nCino or the Salesforce ecosystem.,"ncino, salesforce, level, location, bangalore, chennai, notice, immediate, upto, days, experienced, owner/business",unknown,unknown,,no experience requirement found in the available text,"Level: M/ SM Location : Bangalore, Chennai Notice period - Immediate or upto 60 days We are looking for an experienced nCino Product Owner/Business Analyst - Lending with strong exp in nCino (Salesforce) and Lending workflows. The role involves working with cross - functional teams , supporting delivery , refining requirements , managing backlog and co ordinating UAT. Key skills : Hands on nCino exp Salesforce Knowledge with nCino ecosystem Commercial /Retail Lending domain expertise Exp as a P…"
no,,,26,Product Manager – Healthcare,Innova ESI,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5871991932?se=4K3bCMip8RGS9tX3gPU9Ng&utm_medium=api&utm_source=195aa6d0&v=E4127597F2FAE7AD299E117C6AE5119F9DD8E432,46,34,3,weak,0.14,0/0,,"[{""need"": ""hyderabad /bengaluru/ chennai/delhi"", ""gain"": 2}, {""need"": ""description"", ""gain"": 2}, {""need"": ""sg27"", ""gain"": 2}, {""need"": ""optum"", ""gain"": 2}, {""need"": ""overseeing"", ""gain"": 2}]",,"{""skill_match"": 0.2343, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-05T18:30:24Z,,,,[],[],[],[],[],[],,,,"location, hyderabad, bengaluru, chennai/delhi, description, sg27, optum, responsible, overseeing, processes, related, definition",unknown,unknown,,no experience requirement found in the available text,"Role: Product Manager Location: Hyderabad /Bengaluru/ Chennai/Delhi Job Description: Product Manager (SG27) As a Product Manager at Optum, you will be responsible for overseeing the processes related to the definition of inbound products. Your primary duty will be to develop functional specifications, including capabilities, features, user stories, and acceptance criteria, drawing from feedback provided by both internal and external customers. You will take the lead in detailing requirements, s…"
no,,,26,Product Manager - AI Content Framework,EPAM Systems,"Hyderabad, Telangana",https://www.adzuna.in/details/5871787838?utm_medium=api&utm_source=195aa6d0,38,59,2,weak,0.08,0/0,,"[{""need"": ""analytical"", ""gain"": 2}, {""need"": ""lead vision"", ""gain"": 2}, {""need"": ""execution"", ""gain"": 2}, {""need"": ""ai-driven product portfolio"", ""gain"": 2}, {""need"": ""acting"", ""gain"": 2}]",,"{""skill_match"": 0.2396, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-05T16:09:15Z,,,,[],[],[],[],[],[],,,,"analytical, vision, execution, ai-driven, acting, connector, advanced, leaders, subject, matter, experts, end-users",unknown,unknown,,no experience requirement found in the available text,"We're looking for an analytical and strategic Product Manager for AI Content Framework to lead vision, strategy, and execution across our AI-driven product portfolio, acting as the connector between commercial stakeholders and our advanced AI engineering team. Responsibilities Partner with business leaders, subject matter experts, and end-users to uncover and document detailed business requirements Apply an AI-informed lens to business problems, deciding whether deterministic software, traditio…"
no,,,24,Healthcare Product Manager,Innova ESI,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5872266204?se=4K3bCMip8RGS9tX3gPU9Ng&utm_medium=api&utm_source=195aa6d0&v=C88D386B5C711FD2A5FB3F2B5D24624346CD4148,43,34,2,weak,0.08,0/0,,"[{""need"": ""healthcare product"", ""gain"": 3}, {""need"": ""manager healthcare"", ""gain"": 3}, {""need"": ""healthcare informatics"", ""gain"": 3}, {""need"": ""informatics location"", ""gain"": 3}, {""need"": ""hyderabad /bengaluru/ chennai/delhi"", ""gain"": 3}]",,"{""skill_match"": 0.2095, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-06T00:52:21Z,,,,[],[],[],[],[],[],,,,"healthcare, informatics, location, hyderabad, bengaluru, chennai/delhi, immediate, joiners, only, specific, limited, following",good_fit,stated,5+,"asks for 5+ years, you have 4","Role: Healthcare Product Manager – Healthcare Informatics Location: Hyderabad /Bengaluru/ Chennai/Delhi Experience: 5 Years Immediate Joiners Only The specific responsibilities include, but are not limited to the following: - • The Product Manager will work closely with both onsite and offshore teams to assess requirements and devise solutions. • The Product Manager will define and lead the product strategy and roadmap for the offerings. • The Product Manager will effectively convey the product…"
no,,,23,Associate Product Manager,Morningstar,"Mumbai, Maharashtra",https://www.adzuna.in/land/ad/5871846787?se=4K3bCMip8RGS9tX3gPU9Ng&utm_medium=api&utm_source=195aa6d0&v=D132959DCC8BCBDA4CA5A3849B0398935E5A64B3,34,38,2,weak,0.08,0/0,,"[{""need"": ""morningstar"", ""gain"": 2}, {""need"": ""inclusive employer"", ""gain"": 2}, {""need"": ""mygwork"", ""gain"": 2}, {""need"": ""largest global platform"", ""gain"": 2}, {""need"": ""lgbtq business community"", ""gain"": 2}]",,"{""skill_match"": 0.1818, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-05T16:19:51Z,,,,[],[],[],[],[],[],,,,"morningstar, calculations, inclusive, employer, mygwork, global, lgbtq, community, please, contact, recruiter, directly",good_fit,inferred,0-3,"asks for 0-3 years, you have 4","This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Associate Product Manager Shift: UK The Team Morningstar's Analytics group develops and delivers proprietary methodologies, calculations, and analytical capabilities that help investors evaluate investments and make informed decisions. The Managed Investment Calculations team translates Morningstar's …"
no,,,23,Academic Partnership Executive,New Delhi Medical Healthcare Academy,"New Delhi, Delhi",https://www.adzuna.in/land/ad/5871993119?se=upNqKMip8RGlI_dq_IL75Q&utm_medium=api&utm_source=195aa6d0&v=321ADC00660930C07913C74B262C32079FA2C527,38,27,2,weak,0.12,0/0,,"[{""need"": ""academic partnership executive"", ""gain"": 2}, {""need"": ""description business"", ""gain"": 2}, {""need"": ""manager healthcare"", ""gain"": 2}, {""need"": ""medtech department"", ""gain"": 2}, {""need"": ""business development"", ""gain"": 2}]",,"{""skill_match"": 0.1381, ""experience_fit"": 1.0, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-05T18:33:01Z,,,,[],[],[],[],[],[],,,,"healthcare, medtech, hospitals, description, position, department, development, employment, type, full-time, industry, diagnostics",good_fit,stated,2-5,"asks for 2-5 years, you have 4","Job Description – Business Partner Manager Position: Business Partner Manager – Healthcare / MedTech Department: Business Development / Partnerships Employment Type: Full-Time Experience: 2–5 Years Industry: Healthcare / MedTech / Diagnostics / Hospitals About the Role: We are looking for an experienced and result-oriented Business Partner Manager to develop and manage strategic partnerships with hospitals, clinics, diagnostic centres, healthcare organizations, doctors, and other healthcare sta…"
no,,,23,Program Manager - Supply Chain - Motor Vehicle / EV Manufacturing,Talent Toppers,"Delhi, India",https://www.adzuna.in/land/ad/5871992434?se=3iAUN8ip8RGogquEo3zAlQ&utm_medium=api&utm_source=195aa6d0&v=6A2F44FF23D622585332A6DACD5DFDD3A773936A,34,44,2,weak,0.08,0/0,,"[{""need"": ""program manager"", ""gain"": 2}, {""need"": ""supply chain"", ""gain"": 2}, {""need"": ""motor vehicle"", ""gain"": 2}, {""need"": ""manufacturing leading"", ""gain"": 2}, {""need"": ""oem"", ""gain"": 2}]",,"{""skill_match"": 0.1913, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-05T18:31:25Z,,,,[],[],[],[],[],[],,,,"chain, leading, sourcing, vehicle, space, backed, marquee, global, investors, program, directly, co-founder",unknown,unknown,,no experience requirement found in the available text,"Leading EV OEM in the commercial vehicle space (backed by marquee global investors) is looking for a Program Manager – Supply Chain to work directly with the Co-founder leading Supply Chain & Manufacturing. This is a high-ownership role driving new product programs across sourcing, engineering, quality, plant and finance. What you'll own: End-to-end NPI supply chain planning — sourcing, tooling, PPAP/APQP, pilot builds, ramp readiness Localisation roadmap for imported/single-source components, …"
no,,,21,Business Development Manager – AI Intelligence & Strategic Partnerships,Maha AI l Fin AI I Fin100X.AI Pvt. Ltd,"Mumbai, Maharashtra",https://www.adzuna.in/land/ad/5852036616?se=upNqKMip8RGlI_dq_IL75Q&utm_medium=api&utm_source=195aa6d0&v=4545A3A7E224FEE441C4367C8D557C72E46717F8,43,49,2,weak,0.2,0/0,,"[{""need"": ""business development"", ""gain"": 2}, {""need"": ""development manager"", ""gain"": 2}, {""need"": ""ai intelligence"", ""gain"": 2}, {""need"": ""intelligence strategic"", ""gain"": 2}, {""need"": ""mumbai"", ""gain"": 2}]",,"{""skill_match"": 0.1592, ""experience_fit"": 0.804, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-22T09:33:33Z,,,,[],[],[],[],[],[],,,,"platforms, intelligence, location, fin100x.ai, private, limited, maha, mode, mumbai-based, stakeholder-facing, development, represent",good_fit,stated,5-10,"asks for 5-10 years, you have 4","Location: Mumbai Company: FIN100X.AI PRIVATE LIMITED Platforms: Fin AI | Maha AI Experience: 5–10 Years Work Mode: Mumbai-based | Stakeholder-facing role We are looking for a Business Development Manager – AI Intelligence & Strategic Partnerships who can represent our AI intelligence platforms before senior government, BFSI, enterprise and institutional stakeholders. This is not a conventional sales role . The person will work closely with the Founder, Product, AI and Technology teams to unders…"
