applied,applied_on,match_feedback,score,title,company,location,url,frozen_score,legacy_score,percentile,band,jd_difficulty,must_coverage,missing_must,top_gaps,score_flags,sub_scores,company_tier,company_basis,company_evidence,source,apply_channel,salary_min,salary_max,updated_at,resume_docx,resume_pdf,tailored_summary,bullets_to_lead_with,rewritten_bullets,keywords_to_add_if_true,fit_exact,fit_partial,fit_gaps,outreach_note,change_log,honest_gap_note,missing_keywords,exp_verdict,exp_confidence,exp_required,exp_why,description_snippet
no,,,37,Product Manager I,SWIGGY,"Bengaluru, KA, in",https://jobs.smartrecruiters.com/swiggy/6000000001394644,38,41,12,weak,0.15,0/0,,"[{""need"": ""internal food"", ""gain"": 2}, {""need"": ""food delivery"", ""gain"": 2}, {""need"": ""data science"", ""gain"": 2}, {""need"": ""charter spanning pricing"", ""gain"": 2}, {""need"": ""discount optimization"", ""gain"": 2}]",,"{""skill_match"": 0.4062, ""experience_fit"": 1.0, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,smartrecruiters,aggregator,,,2026-09-10T06:26:02.934Z,data/resumes/2026-09-10/SWIGGY_Product_Manager_I/Mehul_Agarwal.docx,data/resumes/2026-09-10/SWIGGY_Product_Manager_I/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,LLM output was not parseable; raw output kept.,"internal, science, charter, optimization, enablement, tooling, used, ai/ds-first, development, agents, these, deliver",good_fit,stated,3+,"asks for 3+ years, you have 4","About The Role Product Manager I will work with internal food delivery product teams, data science, engineering, sales operations, business, and analytics teams to build the strategy and roadmap for a charter spanning pricing and discount optimization for business partners, and sales enablement tools including the sales app, dashboards and self-serve tooling used by internal sales teams. This role will lead AI/DS-first product development, including GenAI-powered agents, to help these teams work more effectively and deliver continued value to business partners and internal stakeholders. What will you get to do here? Establish & own the long-term vision for pricing/discount optimization products and internal sales enablement tools, while strategizing, planning, and influencing delivery on the roadmap. Partner with business, sales operations, data science, analytics, and engineering teams to deliver the roadmap while unlocking long-term value for business partners and internal stakeholders. Collaborate with cross-functional teams to define strategic roadmaps based on AOP targets and execute against them. Build products for a stable, established business as well as lead 0-to-1 product building, particularly around AI/DS-first and agentic tooling. Collaborate with product teams across the org to ideate and find win-win-win solutions on shared objectives across categories and product lines. Manage and facilitate team members at all levels to design and build differentiated experiences, fostering a culture of innovation and sustainable execution. Determine the targets and success metrics for the charter based on organizational strategy, and act as the custodian of these metrics. What qualities are we looking for? Minimum 3 years of work experience in Product Management with extensive experience in user research, consumer backward thinking, design thinking and building consumer experiences in the e-commerce/ consumer internet industry. Hands-on familiarity with the GenAI d"
no,,,35,Business Analyst,Cassini Systems,"Injambakkam, Chennai",https://www.adzuna.in/details/5877296390?utm_medium=api&utm_source=195aa6d0,45,55,10,weak,0.15,0/3,"financial services experience, market risk, credit risk or collateral workflows and analytics, translating client and business requirements into detailed technical and functional specifications for development","[{""need"": ""financial services experience"", ""gain"": 6}, {""need"": ""market risk, credit risk or collateral workflows and analytics"", ""gain"": 6}, {""need"": ""translating client and business requirements into detailed technical and functional specifications for development"", ""gain"": 6}, {""need"": ""collateral workflows and analytics"", ""gain"": 3}, {""need"": ""requirement translation"", ""gain"": 3}]",,"{""skill_match"": 0.1277, ""experience_fit"": 0.85, ""domain"": 0.5, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-09T21:38:53Z,data/resumes/2026-09-10/Cassini_Systems_Business_Analyst/Mehul_Agarwal.docx,data/resumes/2026-09-10/Cassini_Systems_Business_Analyst/Mehul_Agarwal.pdf,"Product manager with 4+ years of experience across digital product, growth, and lending at Bajaj Finance, owning business outcomes, requirements, and cross-functional delivery. Brings deep expertise in translating business and credit requirements into detailed functional specifications and product workflows for financial services products. Proven track record in requirement gathering, feature development, stakeholder management, and managing product lifecycles across complex financial domains. Experienced in working with cross-functional teams including engineering, analytics, and risk to ship scalable features.","[""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate."", ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against.""]","[{""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Translated business and system requirements into specifications across the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — acting as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status.""}, {""original"": ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""rewritten"": ""Translated business objectives and detailed functional specifications into the capability roadmap and requirements for the channel as its business owner — translating targets into product, policy, and partner asks for Technology, Credit, and Legal to build against.""}, {""original"": ""Owned the Personal Loan digital platform (app and web) at ~15 lakh Form-1 submissions/month, turning business and credit requirements into shipped capability while the channel scaled from ~₹400 Cr to ~₹1,100 Cr in monthly disbursals through a period of sector-wide tightening in consumer credit."", ""rewritten"": ""Managed the Personal Loan digital platform (app and web) handling ~15 lakh Form-1 submissions/month, translating business and credit requirements into shipped technical and functional specifications while scaling the channel from ~₹400 Cr to ~₹1,100 Cr in monthly disbursals.""}]","[""Requirement Gathering"", ""BRDs/PRDs"", ""Agile/Scrum"", ""Stakeholder Management"", ""Product Lifecycle Management""]","[""Experience in financial services / financial sector (consumer lending / NBFC at Bajaj Finance)"", ""Translating requirements into specifications (Requirement Gathering, BRDs/PRDs, PRD ownership)"", ""Cross-functional stakeholder management (working with engineering, risk, legal, and business teams)""]","[""Business analyst functions: CV demonstrates product management and business ownership (translating requirements to specs) rather than a dedicated Business Analyst title."", ""Financial risk experience: CV shows credit risk criteria, minimum credit parameters, and lending rules engines, but does not explicitly mention market risk or collateral workflows.""]","[""Specific domain experience in market risk or collateral workflows and analytics as requested by Cassini Systems."", ""Direct professional experience working as a Business Analyst at a fintech vendor or financial institution specializing in risk/collateral systems.""]","Hi, I saw Cassini is looking for a Business Analyst. At Bajaj Finance, I have 4+ years of experience translating complex credit and business requirements into detailed product specifications and workflows. I'd love to connect to discuss how my requirement-gathering and product delivery skills match your needs.",Summary rewritten for this JD; 3 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Home Loans,The CV does not demonstrate direct experience in market risk or collateral workflows and analytics.,"analyst, financial, description, sits, cassini, detailed, technical, functional, specifications, development, requires, detail-orientated",unknown,unknown,,no experience requirement found in the available text,"Job Description – Business Analyst Summary The Business Analyst sits within Cassini’s Product team, translating client and business requirements into detailed technical and functional specifications for development. The role requires a detail-orientated candidate with financial services experience, ideally in market risk, credit risk or collateral workflows and analytics, gained either at a financial institution or a fintech vendor. The Business Analyst converts feature requirements into develo…"
no,,,35,Product Manager- Vehicle Finance,Ujjivan small finance bank limited,"Bengaluru, Karnataka",https://www.jobaaj.com/job/ujjivan-small-finance-bank-limited-product-manager-vehicle-finance-bengaluru-bangalore-karnataka-0-to-1-years-748289?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,36,41,10,weak,0.14,0/0,,"[{""need"": ""Two-Wheeler Business Portfolio management"", ""gain"": 7}, {""need"": ""BRD and FSD creation"", ""gain"": 7}, {""need"": ""Third-Party Products & vendors management"", ""gain"": 7}, {""need"": ""Payments and digital channels adoption"", ""gain"": 7}, {""need"": ""Loan digitization and business re-engineering"", ""gain"": 7}]",,"{""skill_match"": 0.26, ""experience_fit"": 0.85, ""domain"": 0.25, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,serpapi,aggregator,,,,data/resumes/2026-09-10/Ujjivan_small_finance_bank_limited_Product_Manager_Vehicle_Finance/Mehul_Agarwal.docx,data/resumes/2026-09-10/Ujjivan_small_finance_bank_limited_Product_Manager_Vehicle_Finance/Mehul_Agarwal.pdf,"Product manager with 4+ years across digital product, growth, and lending partnerships at Bajaj Finance, owning end-to-end product lifecycles and digital platform scale-ups. Experienced in driving digital loan origination, process automation, and cross-functional delivery across consumer lending portfolios. Brings expertise in product strategy, funnel optimization, and managing technology integrations to deliver seamless customer journeys.","[""Owned the Personal Loan digital platform (app and web) at ~15 lakh Form-1 submissions/month, turning business and credit requirements into shipped capability while the channel scaled from ~₹400 Cr to ~₹1,100 Cr in monthly disbursals through a period of sector-wide tightening in consumer credit."", ""Rebuilt the application journey with UI/UX — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing."", ""Microfinance Loans – 0→1 Digital Journey: Launched digital lead creation for Microfinance group loans on app and web from scratch, generating ~2,000 leads/month and opening an underserved customer segment to digital origination.""]","[{""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Managed the full product lifecycle for platform releases — requirement intake, BRDs, design, build, QA, deployment, and post-launch iteration — collaborating with cross-functional teams on scope, trade-offs, and release status.""}, {""original"": ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""rewritten"": ""Defined the capability roadmap and requirements for the channel as its business owner — translating business budgets into product, policy, and partner deliverables for Technology, Credit, and Legal.""}, {""original"": ""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate."", ""rewritten"": ""Designed and shipped matching engines scoring ~90,000 leads/month against credit criteria and routing every lead to external partners, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate.""}]","[""Product Management"", ""Product Lifecycle Management"", ""Digitization"", ""Loan Origination System"", ""Cross-functional Team"", ""Business Requirements Document"", ""Customer Journey""]","[""Managing end-to-end product life-cycle of lending products"", ""Working with cross-functional team to ensure effective working of delivery systems"", ""Loan digitization and business re-engineering to bring efficiencies""]","[""Managing Loan Origination System / platform journeys: CV shows extensive platform ownership and BRDs/PRDs for lending applications, but not specifically a Two-Wheeler LOS."", ""Managing third-party products and vendors: CV shows managing partner networks and lending-partner integrations, but not specifically third-party vehicle insurance or ancillary fee products.""]","[""Direct experience managing a Two-Wheeler business portfolio or vehicle finance portfolio."", ""Overseeing variable pay and R&R programs for sales staff or collection productivity."", ""Managing OEM relationships and institutional sales for vehicle finance.""]","Hi, I lead digital lending products at Bajaj Finance, scaling consumer loan platforms and managing digital origination journeys. I’d love to bring my product lifecycle and digitization experience to Ujjivan's vehicle finance portfolio. Let's connect!",Summary rewritten for this JD; 3 bullet(s) reworded to JD vocabulary (metrics preserved verbatim),"The CV demonstrates strong digital lending and platform experience, but does not feature specific experience in Two-Wheeler financing, vehicle loans, or managing OEM relationships.","channels, manage, two-wheeler, regulatory, external, managing, payments, digitization, service, innovation, adoption, variable",unknown,unknown,,no experience requirement found in the available text,"ROLE PURPOSE & OBJECTIVETo manage the Two-Wheeler Business Portfolio & Third-Party ProductsTo oversee digitization of services and ensure paper less service is provided to end user.Drive innovation in Product design, delivery and business model to ensure higher growth achievement on month on month.KEY DUTIES & RESPONSIBILITIES OF THE ROLE:Business/ FinancialsDrive towards Business budget for Two-Wheeler Loans and its PaymentsManaging end-to-end product life-cycle of Two-Wheeler productsDrive Product adoption, business & collection through designing and running Variable Pay and R&R programsDrive the launch of new products within the verticalLoan Origination SystemManaging the current LOS along with continuous changes based on market feedback & regulatory guidelinesManaging the requirements of BRD, FSD and sign off for the sameThird Party Products & vendorsManaging Fees revenue and claim settlement/payout for Third Party Products & external vendorsPaymentsOverseeing adoption of payment avenues & digital channels usage among the customer segmentAlternate Channels of BusinessOther channels of business-like existing channels, Phone Banking, Digital Banking and should be approx. 7% of the business done in the FYFocus on driving e2W & e3W business which should be at least 2-3% of the total business portfolio. Marketing channel to be used for brand building for the product.Customer (Both Internal & External)Managing customer sourcing, retention and engagement for Loan and TPP productsOverseeing the productivity chart and preparing variable scheme to drive productivityBringing Product Innovation in Loans, TPP and Payments to ensure product-market fitManaging OEM, vendors on a recurring basis for managing the book sizesManaging the institutional sales through various institutes and make best use of other verticals of the BankMonitoring customer satisfaction index in collaboration with Service Quality team & continuous enhancements for improved customer experienceInternal Proc"
no,,,35,Senior Product Manager,GeekSoft Consulting,"Hussainialam, Hyderabad",https://www.adzuna.in/details/5877943407?utm_medium=api&utm_source=195aa6d0,51,76,25,weak,0.47,2/3,Amazon Connect voice and conversational AI platform,"[{""need"": ""Amazon Connect voice and conversational AI platform"", ""gain"": 11}, {""need"": ""technology solutions research and implementation"", ""gain"": 6}, {""need"": ""resiliency and availability of products"", ""gain"": 6}]",,"{""skill_match"": 0.4444, ""experience_fit"": 0.72, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-10T09:21:54Z,data/resumes/2026-09-10/GeekSoft_Consulting_Senior_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-09-10/GeekSoft_Consulting_Senior_Product_Manager/Mehul_Agarwal.pdf,"Product manager with 4+ years across digital product, growth, and partnerships, including scaling consumer lending platforms at Bajaj Finance. Experienced in owning product lifecycles, cross-functional delivery, and conversational AI features like GYDE AI Voice Assist inside customer applications. Brings deep expertise in requirement gathering, Agile execution, UX design, and platform analytics.","[""GYDE AI Voice Assist: Shipped conversational voice assistance inside the application form to guide applicants through completion, lifting Form-1 submissions ~3.5% — roughly 50,000 additional submissions per month at platform scale."", ""Rebuilt the application journey with UI/UX — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing."", ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status.""]","[{""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Managed the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — taking responsibility for delivery as the primary interface between business stakeholders and Engineering.""}, {""original"": ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""rewritten"": ""Defined capability roadmaps and requirements for digital platforms, translating targets into product, policy, and partner asks for technology and engineering teams to build against.""}]","[""Product Management"", ""Product Lifecycle Management"", ""Roadmapping"", ""Requirement Gathering"", ""Agile/Scrum""]","[""Product Management and product lifecycle execution"", ""Conversational AI / voice assistance feature delivery (GYDE AI Voice Assist)"", ""Cross-functional team collaboration and stakeholder management""]","[""Platform improvement and continuous delivery (CV demonstrates lifecycle management and platform scaling, but lacks explicit continuous platform hardening mentions)"", ""Technical platform ownership (CV shows product ownership and technology requirement definition, but not direct infrastructure resiliency or availability ownership)""]","[""6 years of experience in Product Management or Product Owner roles (CV has 4+ years)"", ""Amazon Connect voice and conversational AI platform experience""]","Hi! I built and shipped conversational voice assistance features like GYDE AI Voice Assist into application platforms, handling full product lifecycles and cross-functional delivery. With 4+ years in product management scaling digital platforms, I'd love to bring this experience to GeekSoft Consulting.",Summary rewritten for this JD; 2 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Personal Loans,"The job description requires 6 years of product management experience and specific expertise with Amazon Connect voice and conversational AI platforms, whereas the candidate has 4+ years of total experience and no Amazon Connect tooling mentioned in the CV.","continuously, clients, suggest, implement, solutions, following, practices/standards, take, responsibility, resiliency, availability, different",good_fit,stated,6+,"asks for 6+ years, you have 4","Help design, build and continuously improve the clients online platform. Research, suggest and implement new technology solutions following best practices/standards. Take responsibility for the resiliency and availability of different products. Be a productive member of the team. Requirements 6 years of experience in Product Management or Product Owner roles. Experienced Senior Product Manager to lead the evolution of our Amazon Connect voice and conversational AI platform. Responsible for defi…"
no,,,30,Senior Product Manager,Cornerstone OnDemand,"Hyderabad, Telangana",https://www.adzuna.in/details/5877240670?utm_medium=api&utm_source=195aa6d0,47,62,13,weak,0.4,2/5,"execution, ai-powered experiences, skills intelligence","[{""need"": ""execution"", ""gain"": 8}, {""need"": ""ai-powered experiences"", ""gain"": 8}, {""need"": ""skills intelligence"", ""gain"": 8}, {""need"": ""data science collaboration"", ""gain"": 4}]","Unverifiable mandatory gate — confirm manually: Office Based, Hyderabad Office","{""skill_match"": 0.3185, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-09T21:11:00Z,data/resumes/2026-09-10/Cornerstone_OnDemand_Senior_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-09-10/Cornerstone_OnDemand_Senior_Product_Manager/Mehul_Agarwal.pdf,"Product manager with 4+ years of experience across digital product, growth, and partnerships, including building AI-powered conversational voice assistance features in consumer lending at Bajaj Finance. Experienced in owning full product lifecycles, translating business and credit requirements into shipped capability, and partnering cross-functionally with engineering, design, and data roles. Proven track record of scaling digital platforms and improving user experiences through data-driven optimization and analytics.","[""GYDE AI Voice Assist: Shipped conversational voice assistance inside the application form to guide applicants through completion, lifting Form-1 submissions ~3.5% — roughly 50,000 additional submissions per month at platform scale."", ""Rebuilt the application journey with UI/UX — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing."", ""Lifted conversion 23% and user acquisition 14% by instrumenting the journey in Google Analytics and CleverTap, isolating the cohorts that dropped, and sequencing fixes by revenue impact rather than ticket count.""]","[{""original"": ""GYDE AI Voice Assist: Shipped conversational voice assistance inside the application form to guide applicants through completion, lifting Form-1 submissions ~3.5% — roughly 50,000 additional submissions per month at platform scale."", ""rewritten"": ""GYDE AI Voice Assist: Executed the strategy and delivery of conversational voice assistance inside the application form to guide applicants through completion, lifting Form-1 submissions ~3.5% — roughly 50,000 additional submissions per month at platform scale.""}, {""original"": ""Rebuilt the application journey with UI/UX — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing."", ""rewritten"": ""Rebuilt the application journey with UI/UX and cross-functional execution — cutting drop-off 40% and completion time 15%, lifting completed applications 30% and automating 22% more of the journey end-to-end through straight-through processing.""}, {""original"": ""Lifted conversion 23% and user acquisition 14% by instrumenting the journey in Google Analytics and CleverTap, isolating the cohorts that dropped, and sequencing fixes by revenue impact rather than ticket count."", ""rewritten"": ""Lifted conversion 23% and user acquisition 14% by instrumenting the experiences in Google Analytics and CleverTap, isolating the user cohorts that dropped, and sequencing fixes by revenue impact rather than ticket count.""}]","[""execution"", ""ai-powered"", ""experiences""]","[""Product management experience owning product lifecycle and strategy"", ""Experience partnering closely with engineering and design functions""]","[""AI-powered experiences: CV includes GYDE AI Voice Assist for conversational voice assistance, but lacks direct experience in skills intelligence platforms.""]","[""Office based in Hyderabad"", ""Skills and AI platform / skills intelligence domain experience""]","Hi, I lead digital products at Bajaj Finance, where I shipped AI-powered conversational voice assistance features that scaled platform submissions. I'd love to bring my product lifecycle and execution experience to Cornerstone OnDemand's platform team.",Summary rewritten for this JD; 2 bullet(s) reworded to JD vocabulary (metrics preserved verbatim),The CV does not demonstrate experience with skills intelligence platforms or an office presence in Hyderabad.,"senior, office, hyderabad, execution, intersection, ai-powered, experiences, intelligence, helping, organizations, understand, capabilities",good_fit,inferred,6-10,"asks for 6-10 years, you have 4","We're looking for a Senior Product Manager This role is Office Based, Hyderabad Office Senior Product Manager About the Role We're looking for a Senior Product Manager to lead the strategy and execution for our skills and AI platform. In this role you'll own products at the intersection of AI-powered experiences and skills intelligence — helping organizations understand the capabilities oftheir workforce and close skill gaps at scale. You'll partner closely with engineering, design, data scienc…"
no,,,27,Sr Technical Product Manager,GE HealthCare,"Bangalore, Karnataka",https://www.adzuna.in/details/5876718552?utm_medium=api&utm_source=195aa6d0,40,45,4,weak,0.14,0/0,,"[{""need"": ""description summary"", ""gain"": 2}, {""need"": ""lock-step"", ""gain"": 2}, {""need"": ""domain leaders acting"", ""gain"": 2}, {""need"": ""senior technical"", ""gain"": 2}, {""need"": ""technical product"", ""gain"": 2}]",,"{""skill_match"": 0.2522, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-09T11:07:28Z,,,,[],[],[],[],[],[],,,,"clear, description, responsible, lock-step, leaders, acting, senior, technical, create, direction, delivered, development",good_fit,inferred,6-10,"asks for 6-10 years, you have 4",Job Description Summary Responsible for working in lock-step with application or domain leaders acting as a senior technical product manager to create a clear strategic direction that will be delivered by the product development team. You will work with the team and deliver a clear and descriptive set of requirements to enable the delivery of product features and functionality. Your priority is seamless integration and alignment of perspectives from a broad set of stakeholders including but not…
no,,,26,Associate Technical Product Manager,Levi Strauss & Co.,"Bangalore, Karnataka",https://www.adzuna.in/details/5876949184?utm_medium=api&utm_source=195aa6d0,41,37,3,weak,0.14,0/0,,"[{""need"": ""associate technical"", ""gain"": 2}, {""need"": ""technical product"", ""gain"": 2}, {""need"": ""manager calling"", ""gain"": 2}, {""need"": ""originals"", ""gain"": 2}, {""need"": ""levi strauss"", ""gain"": 2}]",,"{""skill_match"": 0.2437, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-09T16:12:51Z,,,,[],[],[],[],[],[],,,,"makes, calling, originals, levi, strauss, yourself, something, bigger, people, forge, path, leave",good_fit,inferred,0-3,"asks for 0-3 years, you have 4","Calling all originals: At Levi Strauss & Co., you can be yourself — and be part of something bigger. We’re a company of people who like to forge our own path and leave the world better than we found it. Who believe that what makes us different makes us stronger. So add your voice. Make an impact. Find your fit — and your future. Summary Of The Role We are looking for an Associate Technical Product Manager to join our Marketplaces Program, where we develop and scale platform capabilities that co…"
no,,,24,Product Analyst Internship,Phyllo,"Bangalore, Karnataka",https://www.adzuna.in/details/5877823220?utm_medium=api&utm_source=195aa6d0,37,30,2,weak,0.14,0/0,,"[{""need"": ""product analyst internship"", ""gain"": 2}, {""need"": ""phyllo"", ""gain"": 2}, {""need"": ""data gateway"", ""gain"": 2}, {""need"": ""allows social data"", ""gain"": 2}, {""need"": ""accessed"", ""gain"": 2}]",,"{""skill_match"": 0.204, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-10T07:02:24Z,,,,[],[],[],[],[],[],,,,"platforms, creators, phyllo, gateway, allows, social, accessed, source, youtube, twitch, upwork, shopify",unknown,unknown,,no experience requirement found in the available text,"About Us: Phyllo is a data gateway that allows social data to be accessed from source platforms (e.g. YouTube, Twitch, Upwork, Shopify, etc.). We build the underlying infrastructure that connects with every creator platform, maintain a live data feed to the systems used by these platforms to manage creators' data, and provide a normalized data set so that businesses can use creators' data in a simple yet impactful way. Website: https://www.getphyllo.com/ About the Role As a Product Analyst Inte…"
no,,,23,"Technical Business Analyst, Officer",State Street,"Hyderabad, India",https://statestreet.wd1.myworkdayjobs.com/en-US/Global/job/Hyderabad-India/Technical-Business-Analyst--Officer_R-796287,30,24,6,weak,0.41,2/12,"#43, keep, heart, everything, smart, engaged employees, essential, continued success, essential partner, shared success","[{""need"": ""#43"", ""gain"": 2}, {""need"": ""keep"", ""gain"": 2}, {""need"": ""heart"", ""gain"": 2}, {""need"": ""everything"", ""gain"": 2}, {""need"": ""smart"", ""gain"": 2}]",,"{""skill_match"": 0.1814, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",services,negative_list,JD mentions 'our client',workday,direct,,,Posted Yesterday,,,,[],[],[],[],[],[],,,,"alpha, operational, support, index, environment, state, street, development, organization, clear, owners, quality",unknown,unknown,,no experience requirement found in the available text,"Role Summary The Business Analyst (BA) for the Alpha Index HUB (AIH) is a key contributor within the Product Organization, responsible for translating business, operational, and client needs into clear, actionable product requirements. The role supports the design, build, testing, and rollout of scalable index and benchmark data capabilities that are critical to Alpha’s data platform. This position works closely with Product Owners, Engineering, Quality Assurance (QA), Operations, and third‑party data vendors to ensure product enhancements are well‑defined, operable, auditable, and aligned with Alpha product strategy and delivery standards. Key Responsibilities Product &amp; Requirements Management Partner with Product Owners to define, document, and refine product requirements aligned with Alpha Index HUB strategy and roadmap. Lead requirements elicitation through stakeholder interviews, workflow analysis, and data analysis. Produce high‑quality artifacts including Business Requirements Documents (BRDs), functional and non‑functional requirements, user stories, and acceptance criteria. Ensure requirements are clear, testable, and traceable through development and testing phases. Stakeholder Engagement &amp; Collaboration Act as the primary liaison between Product, Engineering, QA, Operations, and external vendors. Facilitate discussions to ensure shared understanding of scope, dependencies, risks, and expected outcomes. Work closely with Operations teams to incorporate operational workflows, controls, and exception handling into product requirements. Delivery &amp; Execution Support Support Agile delivery activities including backlog refinement, sprint planning, and sprint reviews. Define detailed acceptance criteria, covering positive, negative, and edge‑case scenarios, to enable effective QA and UAT/CUAT execution. Participate in testing activities and support validation of delivered functionality against business intent. Operational Readiness &amp; Risk Manageme"
no,,,22,Manager Strategic Partnerships,Smart Moves Talent Crafters Pvt. Ltd.,"Mumbai, Maharashtra",https://www.adzuna.in/land/ad/5876870291?se=Rl76qe6s8RGrqpLfdOxGVA&utm_medium=api&utm_source=195aa6d0&v=F9890D5D8F28CA8B7DCEF4DC851BEAD86AE7E8D9,39,50,1,weak,0.08,0/0,,"[{""need"": ""involves developing relationships"", ""gain"": 2}, {""need"": ""chartered accountants"", ""gain"": 2}, {""need"": ""lawyers"", ""gain"": 2}, {""need"": ""professionals"", ""gain"": 2}, {""need"": ""generate qualified"", ""gain"": 2}]",,"{""skill_match"": 0.1592, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-09-09T14:44:33Z,,,,[],[],[],[],[],[],,,,"relationships, lawyers, professionals, generate, referrals, involves, developing, chartered, accountants, manage, referral, prospect",unknown,unknown,,no experience requirement found in the available text,"The role involves developing relationships with *Chartered Accountants, Lawyers and other professionals* to generate qualified client referrals. Key Responsibilities * Build and manage professional referral partnerships. * Prospect through cold calling, references, networking and market visits. * Develop relationships with CAs, Lawyers and business professionals. * Generate qualified client referrals and new business opportunities. * Organise financial planning/wealth management seminars and ne…"
