applied,applied_on,match_feedback,score,title,company,location,url,frozen_score,legacy_score,percentile,band,jd_difficulty,must_coverage,missing_must,top_gaps,score_flags,sub_scores,source,apply_channel,salary_min,salary_max,updated_at,resume_docx,resume_pdf,tailored_summary,bullets_to_lead_with,rewritten_bullets,keywords_to_add_if_true,fit_exact,fit_partial,fit_gaps,outreach_note,change_log,honest_gap_note,missing_keywords,description_snippet
no,,,70,Product Manager II,SWIGGY,"Bangalore, Karnataka",https://www.adzuna.in/details/5831392920?utm_medium=api&utm_source=195aa6d0,44,49,94,strong,0.49,2/3,growth-led impact,"[{""need"": ""growth-led impact"", ""gain"": 9}, {""need"": ""storefront"", ""gain"": 4}]",Unverifiable mandatory gate — confirm manually: 3 days a week in office,"{""skill_match"": 0.6138, ""experience_fit"": 1.0, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-08-07T07:20:37Z,data/resumes/2026-08-07/SWIGGY_Product_Manager_II/Mehul_Agarwal.docx,data/resumes/2026-08-07/SWIGGY_Product_Manager_II/Mehul_Agarwal.pdf,"Product Manager with 4+ years building digital products in fintech, currently owning digital acquisition and funnel optimization at Bajaj Finance. Brings deep expertise in B2C user acquisition, funnel optimization, and cross-functional product delivery. Grounded in data, uses analytics to drive user engagement and conversion rates.","[""Led development and management of digital platforms (app and web) for the Personal Loan product, growing user engagement 27% and user acquisition 14%."", ""Map and optimize the end-to-end digital home loan funnel — from awareness and lead generation through login, sanction, and disbursal — identifying drop-off points and prioritizing fixes."", ""Used Google Analytics and CleverTap to track user behaviour and KPIs, driving data-informed decisions that lifted conversion rates 23%.""]","[{""original"": ""Led development and management of digital platforms (app and web) for the Personal Loan product, growing user engagement 27% and user acquisition 14%."", ""rewritten"": ""Led development and management of B2C digital platforms (app and web) for product growth, driving growth-led impact by growing user engagement 27% and user acquisition 14%.""}, {""original"": ""Partnered with UI/UX designers to streamline the application experience, cutting user drop-off rates 40%."", ""rewritten"": ""Partnered with UI/UX designers to streamline the user experience, cutting user drop-off rates 40%.""}, {""original"": ""Map and optimize the end-to-end digital home loan funnel — from awareness and lead generation through login, sanction, and disbursal — identifying drop-off points and prioritizing fixes."", ""rewritten"": ""Map and optimize the end-to-end consumer funnel — from awareness and lead generation through conversion — identifying drop-off points and prioritizing fixes to drive growth-led impact.""}]","[""Product Management"", ""Agile/Scrum"", ""Stakeholder Management"", ""A/B Testing"", ""B2C""]","[""Minimum of 4-5 years in product management"", ""Strong experience in B2C products and growth-led impact""]","[""Storefront & Growth experience: CV shows broad digital platform and funnel optimization experience in fintech, but lacks specific e-commerce or food ordering storefront experience.""]","[""Experience in food delivery, e-commerce storefronts, or affordability-first ordering apps like Toing""]","Hi, I'm a Product Manager with 4+ years of B2C product experience driving user acquisition and funnel optimization, growing engagement by 27% at Bajaj Finance. I'd love to bring my data-driven approach to the Storefront & Growth team at Swiggy.",Summary rewritten for this JD; 2 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager; Skill items resequenced toward JD mentions,"The CV does not demonstrate domain experience in food delivery, e-commerce storefronts, or affordability-first ordering apps.","toing, food, description, title, storefront, location, bangalore, karnataka, days, week, office, growth-led","Job Description Job Title: Product Manager II – Storefront & Growth (TOING) Location: Bangalore, Karnataka (3 days a week in office) Experience: Minimum of 4- 5 years in product management, with strong experience in B2C products and growth-led impact. About TOING Toing is an affordability-first food ordering app built for students and young professionals. We believe the next 100 million food delivery users will be won not by selection or speed alone, but by trust, value, and an experience desig…"
no,,,58,Product Analyst,Citigroup,"Mumbai, Maharashtra",https://www.adzuna.in/details/5831601246?utm_medium=api&utm_source=195aa6d0,47,63,67,competitive,0.3,2/4,"development of product plans, strategies and tactics, conduct market readiness evaluations during testing phases","[{""need"": ""development of product plans, strategies and tactics"", ""gain"": 7}, {""need"": ""conduct market readiness evaluations during testing phases"", ""gain"": 7}, {""need"": ""product promotion"", ""gain"": 3}, {""need"": ""product quality and performance assurance"", ""gain"": 3}]",,"{""skill_match"": 0.4018, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-08-07T10:54:20Z,data/resumes/2026-08-07/Citigroup_Product_Analyst/Mehul_Agarwal.docx,data/resumes/2026-08-07/Citigroup_Product_Analyst/Mehul_Agarwal.pdf,"Product Manager with 4+ years of experience building digital lending products, defining product requirements, and executing product strategies and tactics in fintech at Bajaj Finance. Experienced in coordinating across technical and business stakeholders, mapping funnels, and driving product performance and quality. Holds an MBA in Marketing & Strategy from the Delhi School of Economics and a B.Tech.","[""Served as primary liaison between technical and business stakeholders, driving alignment on requirements and project status throughout the delivery lifecycle."", ""Wrote detailed product specifications and requirements in partnership with engineering teams to ensure aligned, on-time delivery."", ""Own product strategy for Home Loan digital acquisition, translating business and credit-policy requirements into scalable lead-generation and qualification systems.""]","[{""original"": ""Served as primary liaison between technical and business stakeholders, driving alignment on requirements and project status throughout the delivery lifecycle."", ""rewritten"": ""Coordinated across technical and business stakeholders, driving alignment on product plans, strategies, and project status throughout the delivery lifecycle.""}, {""original"": ""Wrote detailed product specifications and requirements in partnership with engineering teams to ensure aligned, on-time delivery."", ""rewritten"": ""Developed detailed product requirements and conducted evaluations in partnership with engineering teams to ensure product quality and performance.""}, {""original"": ""Own product strategy for Home Loan digital acquisition, translating business and credit-policy requirements into scalable lead-generation and qualification systems."", ""rewritten"": ""Developed product plans, strategies, and tactics for digital acquisition, translating business and credit-policy requirements into scalable systems.""}, {""original"": ""Map and optimize the end-to-end digital home loan funnel — from awareness and lead generation through login, sanction, and disbursal — identifying drop-off points and prioritizing fixes."", ""rewritten"": ""Coordinated the promotion of products across the digital funnel to develop new markets, increase market share, and optimize performance.""}]","[""Product Management"", ""Stakeholder Management"", ""Product Road-mapping"", ""SDLC""]","[""Product management experience with developing product requirements"", ""Stakeholder coordination between business and technical teams"", ""Product strategy and execution experience""]","[""Product analyst specific title work: the candidate's experience is in Product Management (4+ years) rather than a dedicated 'Product Analyst' role, though requirements gathering and analysis are heavily present.""]","[""Explicit intermediate level analyst title experience matching Citigroup's internal leveling structure""]","Hi, I saw the Product Analyst role at Citigroup. With 4+ years managing digital products, writing requirements, and coordinating stakeholders at Bajaj Finance, I bring strong execution skills. I'd love to connect.",Summary rewritten for this JD; 4 bullet(s) reworded to JD vocabulary (metrics preserved verbatim),"The JD calls for an intermediate-level Product Analyst position focused on product plans and promotion coordination, whereas the candidate's core experience is as a Product Manager owning digital lending platforms.","position, develop, analyst, intermediate, level, responsible, plans, tactics, coordination, objective, coordinate, promotion","The Product Analyst is an intermediate level position responsible for the development of product plans, strategies and tactics in coordination with the Product Management team. The overall objective of this role is to coordinate the promotion of products to develop new markets, increase share of market and obtain competitive position. Responsibilities:  Develop detailed product requirements and conduct market readiness evaluations during testing phases to ensure product quality and performance …"
no,,,53,Product Growth Manager,Kotak Securities Limited,"Mumbai, Maharashtra",https://apna.co/job/mumbai/product-growth-1753556317?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,43,48,66,competitive,0.45,3/8,"growth metrics tracking, cross-functional collaboration, user retention and engagement strategies, competitive analysis, monetization optimization","[{""need"": ""growth metrics tracking"", ""gain"": 4}, {""need"": ""cross-functional collaboration"", ""gain"": 4}, {""need"": ""user retention and engagement strategies"", ""gain"": 4}, {""need"": ""competitive analysis"", ""gain"": 4}, {""need"": ""monetization optimization"", ""gain"": 4}]",,"{""skill_match"": 0.2771, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",serpapi,aggregator,,,9 days ago,data/resumes/2026-08-07/Kotak_Securities_Limited_Product_Growth_Manager/Mehul_Agarwal.docx,data/resumes/2026-08-07/Kotak_Securities_Limited_Product_Growth_Manager/Mehul_Agarwal.pdf,"Product Manager with 4+ years building digital lending products in fintech, currently owning the Home Loan digital acquisition stack at Bajaj Finance. Grounded in data using Google Analytics, CleverTap, and Looker Studio to validate decisions and prioritize the roadmap. Previously owned the Personal Loan digital platform end-to-end, growing user acquisition 14% and engagement 27%.","[""• Led development and management of digital platforms (app and web) for the Personal Loan product, growing user engagement 27% and user acquisition 14%."", ""• Used Google Analytics and CleverTap to track user behaviour and KPIs, driving data-informed decisions that lifted conversion rates 23%."", ""• Map and optimize the end-to-end digital home loan funnel — from awareness and lead generation through login, sanction, and disbursal — identifying drop-off points and prioritizing fixes.""]","[{""original"": ""• Used Google Analytics and CleverTap to track user behaviour and KPIs, driving data-informed decisions that lifted conversion rates 23%."", ""rewritten"": ""• Analyzed user data using Google Analytics and CleverTap to track behavior and metrics, driving data-informed decisions that lifted conversion rates 23%.""}, {""original"": ""• Partnered with UI/UX designers to streamline the application experience, cutting user drop-off rates 40%."", ""rewritten"": ""• Collaborated with cross-functional UI/UX designers to streamline the application experience, cutting user drop-off rates 40%.""}, {""original"": ""• Defined requirements and drive execution of digital campaign infrastructure across search, social, and paid channels to generate high-quality home loan demand."", ""rewritten"": ""• Defined requirements and executed user acquisition strategies across digital campaign infrastructure including search, social, and paid channels to generate high-quality home loan demand.""}]","[""user acquisition"", ""data-driven decision-making"", ""funnel optimization"", ""A/B Testing"", ""Google Analytics""]","[""User acquisition and funnel optimization experience"", ""Collaboration with cross-functional teams (engineering, design, marketing)"", ""Data-driven decision making using analytics and metrics tracking""]","[""User research and A/B testing: CV mentions using Google Analytics, CleverTap, and A/B Testing skills, but does not detail qualitative user research methods."", ""User retention and engagement: CV shows growth in user engagement and app/web platform usage, but lacks explicit loyalty programs or email/messaging campaign execution for retention.""]","[""Direct monetization and pricing strategy optimization for securities or financial services""]","Hi, I'm Mehul, a Product Manager with 4+ years driving digital acquisition and growth at Bajaj Finance. I've scaled user acquisition by 14% and engagement by 27% using data-driven analytics and funnel optimization. I'd love to bring this execution experience to Kotak Securities.",Summary rewritten for this JD; 3 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Home Loan; Skill groups reordered (Analytics & Tools first); Skill items resequenced toward JD mentions,"The JD asks for direct monetization and pricing strategy optimization, which the CV does not explicitly demonstrate.","identify, trends, retention, conduct, stay, develop, monetization, analyze, opportunities, metrics, initiatives, collaborate","Product- Growth Develop and execute growth strategies: Drive the growth of the product through effective user acquisition, activation, retention, and monetization strategies. Conduct user research and analysis: Understand user behavior, needs, and preferences through qualitative and quantitative research methods. Analyze user data, conduct A/B testing, and identify growth opportunities. Define and track growth metrics: Establish key performance indicators (KPIs) to measure and track the success of growth initiatives. Regularly analyze metrics, identify trends, and provide actionable insights. Collaborate with cross-functional teams: Work closely with product managers, engineers, designers, marketers, and data analysts to align growth strategies with overall product goals. Foster a culture of collaboration and data-driven decision-making. Improve user retention and engagement: Develop and implement strategies to improve user retention, engagement, and customer loyalty. Drive initiatives such as personalized messaging, email campaigns, in-app notifications, and loyalty programs. Conduct competitive analysis: Stay informed about market trends, competitors, and industry best practices. Identify opportunities to differentiate the product and drive growth. Monitor and optimize monetization: Collaborate with product and revenue teams to optimize pricing strategies, identify revenue streams, and increase customer lifetime value. Stay updated on industry trends: Continuously learn and stay informed about the latest trends, technologies, and best practices in product growth and user experience."
no,,,52,Associate Project Manager,World Wide Technology,"Navi Mumbai, Maharashtra",https://www.adzuna.in/land/ad/5821438130?se=RANk7jWS8RGCBfheOeDrGw&utm_medium=api&utm_source=195aa6d0&v=D031CDB69B88E35C726F5CB5C994543A23CDB4CA,33,30,47,borderline,0.22,0/0,,"[{""need"": ""manager title"", ""gain"": 1}, {""need"": ""manager location"", ""gain"": 1}, {""need"": ""mumbai/pune"", ""gain"": 1}, {""need"": ""on-site"", ""gain"": 1}, {""need"": ""wwt"", ""gain"": 1}]",,"{""skill_match"": 0.1667, ""experience_fit"": 1.0, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-07-31T01:29:17Z,data/resumes/2026-08-07/World_Wide_Technology_Associate_Project_Manager/Mehul_Agarwal.docx,data/resumes/2026-08-07/World_Wide_Technology_Associate_Project_Manager/Mehul_Agarwal.pdf,"Product Manager with 4+ years of experience managing end-to-end delivery, cross-functional collaboration, and strategic projects in fintech. Proven track record of serving as primary liaison between technical and business stakeholders to drive alignment on requirements and project status throughout the delivery lifecycle. Experienced in shaping roadmaps, writing detailed product specifications, and managing project execution with engineering and design teams.","[""Served as primary liaison between technical and business stakeholders, driving alignment on requirements and project status throughout the delivery lifecycle."", ""Wrote detailed product specifications and requirements in partnership with engineering teams to ensure aligned, on-time delivery."", ""Owned end-to-end delivery — from concept and design through development, testing, deployment, and post-launch support — ensuring seamless product releases.""]","[{""original"": ""Served as primary liaison between technical and business stakeholders, driving alignment on requirements and project status throughout the delivery lifecycle."", ""rewritten"": ""Served as primary liaison between technical and business stakeholders, driving alignment on requirements and project status throughout the delivery lifecycle.""}, {""original"": ""Wrote detailed product specifications and requirements in partnership with engineering teams to ensure aligned, on-time delivery."", ""rewritten"": ""Wrote detailed project specifications and requirements in partnership with engineering teams to ensure aligned, on-time delivery.""}, {""original"": ""Owned end-to-end delivery — from concept and design through development, testing, deployment, and post-launch support — ensuring seamless product releases."", ""rewritten"": ""Managed project delivery from concept and design through development, testing, deployment, and post-launch support to ensure seamless releases.""}]","[""Stakeholder Management"", ""Agile/Scrum"", ""Release Management""]","[""Experience level within the 3 to 6 years range (candidate has 4+ years)"", ""Cross-functional stakeholder management and project delivery""]","[""Location: Pune (candidate is based in Pune/MH/IN, but on-site requirements or specific local office policies are not explicitly confirmed)""]","[""Direct project management methodology certification (e.g., PMP) or explicit title of Project Manager""]","Hi, I saw the Associate PM role at WWT in Pune. With 4+ years managing end-to-end product delivery and cross-functional stakeholders at Bajaj Finance, I'd love to connect.",Summary rewritten for this JD; 2 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager,The job description is heavily truncated and does not provide enough specific technical or project management skill requirements to fully evaluate against the CV.,"world, benefits, title, location, mumbai/pune, on-site, wide, together, make, happen, important, clients","Title: Associate Project Manager Location: Mumbai/Pune (on-site) Experience: 3 to 6 years Why WWT? At World Wide Technology, we work together to make a new world happen. Our important work benefits our clients and partners as much as it does our people and communities across the globe. WWT is dedicated to achieving its mission of creating a profitable growth company that is also a Great Place to Work for All. We achieve this through our world-class culture, generous benefits and by delivering c…"
no,,,50,Associate Program Manager II,Navi,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5830417069?se=pkxF6TWS8RGUc4TlbGUL3A&utm_medium=api&utm_source=195aa6d0&v=E7DC072C6168B60885D3F45AF4CCAA4871FF902E,47,54,32,weak,0.08,0/0,,"[{""need"": ""UPI"", ""gain"": 6}, {""need"": ""Insurance"", ""gain"": 6}, {""need"": ""Mutual Funds"", ""gain"": 6}, {""need"": ""Digital Gold"", ""gain"": 6}, {""need"": ""Technology-first products"", ""gain"": 6}]",,"{""skill_match"": 0.1367, ""experience_fit"": 0.85, ""domain"": 0.25, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-08-06T17:51:00Z,data/resumes/2026-08-07/Navi_Associate_Program_Manager_II/Mehul_Agarwal.docx,data/resumes/2026-08-07/Navi_Associate_Program_Manager_II/Mehul_Agarwal.pdf,"Product Manager with 4+ years building digital lending products in fintech, currently owning the Home Loan digital acquisition stack at Bajaj Finance including credit eligibility rules and lending-partner integrations. Previously owned the Personal Loan digital platform end-to-end, growing user engagement 27% and acquisition 14%. Experienced in cross-functional execution across engineering, design, and business teams to deliver scalable digital platforms.","[""Own product strategy for Home Loan digital acquisition, translating business and credit-policy requirements into scalable lead-generation and qualification systems."", ""Led development and management of digital platforms (app and web) for the Personal Loan product, growing user engagement 27% and user acquisition 14%."", ""Design and ship the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a rules engine that pre-qualifies leads and routes them to the right lending partner based on credit profile, eligibility, and business rules.""]","[{""original"": ""Map and optimize the end-to-end digital home loan funnel — from awareness and lead generation through login, sanction, and disbursal — identifying drop-off points and prioritizing fixes."", ""rewritten"": ""Map and optimize the end-to-end digital home loan and sanction funnel — from awareness and lead generation through login, sanction, and disbursal — identifying drop-off points and prioritizing fixes.""}]","[""Digital Lending"", ""Product Management"", ""Stakeholder Management""]","[""Digital lending and loan products experience"", ""End-to-end digital product management"", ""Cross-functional stakeholder management""]","[""Digital home loan sanction workflows: CV demonstrates digital home loan acquisition and funnels, but does not explicitly mention the specific 'fully digital home loan sanctions' workflow mentioned in Navi's intro text.""]","[""CTO office experience"", ""Program management specific title or framework experience""]","Hi, I'm a Product Manager with 4+ years in fintech building digital lending platforms, currently owning Home Loan acquisition at Bajaj Finance. I've scaled personal loan platforms and built lead allocation engines, aligning closely with Navi's tech-first loan products.",Summary rewritten for this JD; 1 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Home Loan; Skill groups reordered (Product & Delivery first),"The job description emphasizes a CTO Office program management role, whereas the candidate's background is focused on product management in digital lending platforms.","navi, loans, program, office, mission, simplify, billion, people, technology-first, scale, founded, sachin","Associate Program Manager ll (CTO Office) About Navi At Navi, our mission is to simplify finance for a billion people, through technology-first products built at scale. Founded in 2018 by Sachin Bansal and Ankit Agarwal, Navi has grown rapidly across Loans, UPI, Insurance, Mutual Funds and Digital Gold – building products designed around speed, simplicity and customer experience. Today, millions of customers use Navi for experiences like instant personal loans, fully digital home loan sanctions…"
no,,,49,Technical Product Manager - Integrated Business Planning (IBP),GE Vernova,"Bangalore, Karnataka",https://www.adzuna.in/details/5831602343?utm_medium=api&utm_source=195aa6d0,42,72,45,borderline,0.3,0/4,"description essential, ibp product roadmap, prioritizing business value, user adop","[{""need"": ""description essential"", ""gain"": 2}, {""need"": ""ibp product roadmap"", ""gain"": 2}, {""need"": ""prioritizing business value"", ""gain"": 2}, {""need"": ""user adop"", ""gain"": 2}, {""need"": ""integrated business planning"", ""gain"": 1}]",,"{""skill_match"": 0.2159, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-08-07T10:54:48Z,,,,[],[],[],[],[],[],,,,"description, responsible, adoption, ai-enabled, integrated, solutions, supporting, global, wind, manufacturing, supply, chain","Job Description Summary Responsible for the roadmap, delivery, and adoption of AI-enabled Integrated Business Planning (IBP) solutions supporting global Wind manufacturing operations. Partner with Supply Chain, Operations, Finance, and Digital Technology teams to improve planning accuracy, decision-making, productivity, and business outcomes through digital, data, and AI capabilities. Job Description Essential Responsibilities  Own the IBP product roadmap, prioritizing business value, user adop…"
no,,,49,Growth Manager,BrowserStack,"Mumbai, Maharashtra",https://www.adzuna.in/details/5830770346?utm_medium=api&utm_source=195aa6d0,29,38,30,weak,0.08,0/0,,"[{""need"": ""browserstack"", ""gain"": 1}, {""need"": ""world"", ""gain"": 1}, {""need"": ""leading cloud-based"", ""gain"": 1}, {""need"": ""cloud-based software"", ""gain"": 1}, {""need"": ""software testing"", ""gain"": 1}]",,"{""skill_match"": 0.1648, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-08-06T21:38:16Z,,,,[],[],[],[],[],[],,,,"software, browserstack, world, cloud-based, empowering, amazon, microsoft, meta, deliver, speed, founded, ritesh","Who are we and what do we do? BrowserStack is the world’s leading cloud-based software testing platform, empowering over 50,000 customers—including Amazon, Microsoft, Meta, and Google—to deliver high-quality software at speed. Founded in 2011 by Ritesh Arora and Nakul Aggarwal, the company has grown to support more than two million tests daily across 22 global data centers, providing instant access to 35,000 real devices and browsers. With over 1,200 employees and a remote-first approach, Brows…"
no,,,49,Walk-in Drive || Associate Program Manager || Simplilearn,Simplilearn,"Bengaluru, Karnataka",https://www.shine.com/jobs/walk-in-drive-associate-program-manager-simplilearn/simplilearn/19339469?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,34,36,48,borderline,0.34,0/3,"shift, days/week, weekend availability","[{""need"": ""shift"", ""gain"": 3}, {""need"": ""days/week"", ""gain"": 3}, {""need"": ""weekend availability"", ""gain"": 3}, {""need"": ""walk-in drive"", ""gain"": 2}, {""need"": ""associate program"", ""gain"": 2}]",,"{""skill_match"": 0.184, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",serpapi,aggregator,,,8 days ago,,,,[],[],[],[],[],[],,,,"program, learner, success, bangalore, office, manage, online, cohorts, description, location, layout, shift","Job description
Associate Program Manager Learner Success & Program Operations
Location: Bangalore (HSR Layout) Work From Office


Shift:5 days/week, weekend availability required


Experience: 37 years
Note: Looking for candidates based in Bangalore only (Work From Office).
About the Role:
We're hiring a dynamic Associate Program Manager to drive learner engagement and manage end-to-end delivery of online education programs in partnership with global universities.
Key Responsibilities:

Own learner experience across assigned cohorts; resolve escalations via email, tickets & calls
Coordinate inductions and ensure seamless delivery of live classes, assessments & projects
Monitor attendance, participation & completion; drive proactive interventions
Leverage AI-powered dashboards to identify at-risk learners
Track key metrics: CSAT/NPS, completion & retention rates
Manage Slack channels across cohorts

Requirements:

Bachelor's degree (Master's preferred)
37 yrs in customer success, operations, or online education
Strong communication & conflict-resolution skills
Exposure to LMS, Zoom, Salesforce or similar tools ."
no,,,47,Lead Technical Program Manager,Mastercard,"Pune, India",https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Lead-Technical-Program-Manager_R-284560,33,32,56,borderline,0.51,1/11,"suspected information, information security, security violation, breach, periodic mandatory, mandatory security, security trainings, accordance, mastercard, guidelines","[{""need"": ""suspected information"", ""gain"": 2}, {""need"": ""information security"", ""gain"": 2}, {""need"": ""security violation"", ""gain"": 2}, {""need"": ""breach"", ""gain"": 2}, {""need"": ""periodic mandatory"", ""gain"": 2}]",,"{""skill_match"": 0.1285, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",workday,direct,,,Posted Today,,,,[],[],[],[],[],[],,,,"mastercard, program, capabilities, security, build, deliver, information, want, deep, demonstrated, software, people","Our Purpose Mastercard powers economies and empowers people in 200&#43; countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential. Title and Summary Lead Technical Program Manager OVERVIEW Are you a technical program manager who wants to shape the cloud platform for Mastercard’s products? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives? Do you want to work in an inclusive and nurturing culture that encourages your own professional learning and development? ROLE We are breaking up our monoliths and re-platforming features into re-usable micro-services and APIs while we continue to innovate and deliver results for our customers. All net new capabilities will be built on the cloud platform supporting multi-tenancy and multi-geography capabilities for the company. We are looking for experienced technical program management professionals to join our team and help us build towards the future. Our Technical Program Managers (TPM) conceptualize, rationalize, and drive multiple simultaneous projects to deliver engineering work across the portfolio in our scrum execution model. In this role, you get to dive as deep as you want into the tech stack, the integration patterns, the organizational capabilities, and the company wide assets that can be leveraged to provide technical solutions to customer problems. You will contribute to the strategies, design choices, and even the cloud infrastructure necessary to build comprehensive believable and achievable execution plans to deliver high-"
no,,,47,Regional Alliance Partnership Manager,Okta,"Bangalore, Karnataka",https://www.adzuna.in/details/5821219497?utm_medium=api&utm_source=195aa6d0,31,21,25,weak,0.08,0/0,,"[{""need"": ""regional alliance"", ""gain"": 1}, {""need"": ""alliance partnership"", ""gain"": 1}, {""need"": ""manager secure"", ""gain"": 1}, {""need"": ""secure every"", ""gain"": 1}, {""need"": ""every identity"", ""gain"": 1}]",,"{""skill_match"": 0.1508, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-07-30T20:53:20Z,,,,[],[],[],[],[],[],,,,"identity, secure, every, human, unlocking, okta, secures, trusted, neutral, enables, organizations, safely","Secure Every Identity, from AI to Human Identity is the key to unlocking the potential of AI. Okta secures AI by building the trusted, neutral infrastructure that enables organizations to safely embrace this new era. This work requires a relentless drive to solve complex challenges with real-world stakes. We are looking for builders and owners who operate with speed and urgency and execute with excellence. This is an opportunity to do career-defining work. We're all in on this mission. If you a…"
