applied,applied_on,match_feedback,score,title,company,location,url,frozen_score,legacy_score,percentile,band,jd_difficulty,must_coverage,missing_must,top_gaps,score_flags,sub_scores,company_tier,company_basis,company_evidence,source,apply_channel,salary_min,salary_max,updated_at,resume_docx,resume_pdf,tailored_summary,bullets_to_lead_with,rewritten_bullets,keywords_to_add_if_true,fit_exact,fit_partial,fit_gaps,outreach_note,change_log,honest_gap_note,missing_keywords,exp_verdict,exp_confidence,exp_required,exp_why,description_snippet
no,,,81,Product Owner,Smiths Detection,"Bangalore, Karnataka",https://www.adzuna.in/details/5849617878?utm_medium=api&utm_source=195aa6d0,49,50,93,strong,0.08,0/0,,[],,"{""skill_match"": 0.9667, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T19:36:58Z,data/resumes/2026-08-21/Smiths_Detection_Product_Owner/Mehul_Agarwal.docx,data/resumes/2026-08-21/Smiths_Detection_Product_Owner/Mehul_Agarwal.pdf,"Product manager with over 4 years of experience building digital products, growth systems, and stakeholder integrations across consumer lending at Bajaj Finance. Proven track record acting as the primary interface between business stakeholders and engineering on scope, trade-offs, and release status. Experienced in defining capability roadmaps and requirements as a business owner for cross-functional pods.","[""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""Part of a ~20-member cross-functional pod (product, engineering, growth, CX, analytics) with 2 direct reports, aligning 10 functions — Business, Sales, Call Centre, Credit Policy, Risk, Legal, Compliance, IT, CX, and Marketing.""]","[{""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Served as the primary liaison between business stakeholders and the technology team, managing the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration on scope, trade-offs, and release status.""}, {""original"": ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""rewritten"": ""Defined capability roadmaps and requirements as a business owner, translating business targets into product, policy, and partner asks for the technology team to build against.""}, {""original"": ""Owned the Personal Loan digital platform (app and web) at ~15 lakh Form-1 submissions/month, turning business and credit requirements into shipped capability while the channel scaled from ~₹400 Cr to ~₹1,100 Cr in monthly disbursals through a period of sector-wide tightening in consumer credit."", ""rewritten"": ""Owned the digital platform (app and web) at ~15 lakh Form-1 submissions/month, turning business and credit requirements into shipped capability while scaling monthly disbursals from ~₹400 Cr to ~₹1,100 Cr.""}, {""original"": ""Designed and shipped the MCP (Minimum Credit Parameters) Master and Lead Allocation Master — a two-sided matching engine that scores ~90,000 leads/month against each partner’s credit criteria and routes every lead to its best-fit lender, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate."", ""rewritten"": ""Designed and shipped product offerings matching leads against credit criteria, routing every lead to its best-fit destination, lifting lead-to-login conversion 40% and lead-to-disbursal from 0.5% to 0.7% at a ~40% approval rate and 50% match rate.""}]","[""Product Owner"", ""Product Management"", ""Requirement Gathering"", ""Agile/Scrum"", ""Stakeholder Management""]","[""Acting as the primary liaison between business stakeholders and the technology team"", ""Ensuring requirements are clear and managed across product offerings"", ""Owning product offerings and defining product requirements""]","[""Product Owner role experience: CV shows 4+ years in product management, growth, and partnerships, but not explicitly titled 'Product Owner' (titled Product Manager).""]","[""Experience in the specific Industry verticals mentioned in the JD: Aviation, Ports & Borders, Urban Security & Defence""]","Hi, I'm a Product Manager with 4+ years of experience acting as the primary liaison between business stakeholders and engineering teams. I have successfully owned product lifecycles, capability roadmaps, and requirements definition for digital platforms at scale. Would love to connect about the Product Owner opening.",Summary rewritten for this JD; 3 bullet(s) reworded to JD vocabulary (metrics preserved verbatim); Bullets reprioritized in: Product Manager - Home Loans,"The job description mentions specific industry verticals like Aviation, Ports & Borders, and Urban Security & Defence which are not present in the CV.","senior, verticals, description, purpose, position, respective, industry, pivotal, found, aviation, ports, borders",unknown,unknown,,no experience requirement found in the available text,"Job Description Job Purpose: The Product Owner Role is a senior position in the business and the respective Industry verticals. This is a pivotal role and found in all 4 verticals: Aviation, Ports & Borders, Urban Security & Defence. The role reports into the Senior Engineering Manager and is responsible for one or more of the company's product offerings. The Product Owner will serve as the primary liaison between business stakeholders and the technology team, ensuring that requirements are cle…"
no,,,59,Product Manager,Smiths Detection,"Bangalore, Karnataka",https://www.adzuna.in/details/5849617881?utm_medium=api&utm_source=195aa6d0,40,50,66,competitive,0.26,2/3,Cross-functional collaboration,"[{""need"": ""Cross-functional collaboration"", ""gain"": 5}, {""need"": ""Resources planning"", ""gain"": 3}, {""need"": ""PLP processes"", ""gain"": 3}, {""need"": ""Customer satisfaction"", ""gain"": 3}, {""need"": ""Global stakeholder coordination"", ""gain"": 3}]",,"{""skill_match"": 0.42, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T19:36:58Z,data/resumes/2026-08-21/Smiths_Detection_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-08-21/Smiths_Detection_Product_Manager/Mehul_Agarwal.pdf,"Product manager with 4+ years of experience across digital product, growth, and partnerships, currently managing product delivery, roadmaps, and cross-functional collaboration at Bajaj Finance. Proven track record in product lifecycle management, aligning market requirements with resources, and overseeing execution for consumer lending portfolios scaling from ₹400 Cr to ₹1,100 Cr in monthly disbursals. Skilled in defining capability roadmaps, driving stakeholder alignment across multiple business functions, and ensuring financial performance through funnel optimization.","[""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""Part of a ~20-member cross-functional pod (product, engineering, growth, CX, analytics) with 2 direct reports, aligning 10 functions — Business, Sales, Call Centre, Credit Policy, Risk, Legal, Compliance, IT, CX, and Marketing.""]","[{""original"": ""Ran the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — as the primary interface between business stakeholders and Engineering on scope, trade-offs, and release status."", ""rewritten"": ""Managed the full product lifecycle for platform releases — requirement intake, PRDs, design, build, QA, deployment, and post-launch iteration — ensuring cross-functional collaboration and delivery between business stakeholders and Engineering.""}, {""original"": ""Define the capability roadmap and requirements for the channel as its business owner — translating the disbursal target into product, policy, and partner asks for Technology, Credit, and Legal to build against."", ""rewritten"": ""Delivered product roadmaps and defined capability requirements for the channel as its business owner — translating financial performance targets into product, policy, and partner asks for Technology, Credit, and Legal.""}, {""original"": ""Part of a ~20-member cross-functional pod (product, engineering, growth, CX, analytics) with 2 direct reports, aligning 10 functions — Business, Sales, Call Centre, Credit Policy, Risk, Legal, Compliance, IT, CX, and Marketing."", ""rewritten"": ""Collaborated within a ~20-member cross-functional pod (product, engineering, growth, CX, analytics) with 2 direct reports, aligning resources across 10 functions — Business, Sales, Call Centre, Credit Policy, Risk, Legal, Compliance, IT, CX, and Marketing.""}]","[""Product Lifecycle Management"", ""Product Strategy"", ""Roadmapping"", ""Stakeholder Management"", ""Team Leadership""]","[""Cross-functional collaboration"", ""Product roadmaps and delivery"", ""Stakeholder management"", ""Financial performance alignment""]","[""Pricing strategies: The CV mentions negotiating lead-exchange and commission economics and market research and competitive pricing analysis for cloud-kitchen operations, but lacks explicit overarching pricing strategy management for manufactured products."", ""Global stakeholders: The CV mentions working with stakeholders and partners, but does not specify global stakeholder coordination.""]","[""Experience specifically within Smiths Detection or security/detection technology domains."", ""Managing physical security product portfolios.""]","Hi, I manage product delivery, roadmaps, and cross-functional collaboration at Bajaj Finance, scaling digital lending products from ₹400 Cr to ₹1,100 Cr. I'd love to bring my expertise in product lifecycle management to Smiths Detection.",Summary rewritten for this JD; 3 bullet(s) reworded to JD vocabulary (metrics preserved verbatim),The job description asks for experience at Smiths Detection and specific security product management which the CV does not support.,"description, purpose, exists, manage, deliver, product/s, resources, cross, functional, collaboration, accountable, roadmaps",unknown,unknown,,no experience requirement found in the available text,"Job Description Job Purpose: The role exists to manage and deliver product/s by aligning market requirements, resources, and cross‑functional collaboration with business strategy. It is accountable for driving product roadmaps, overseeing PLP processes, and ensuring customer satisfaction through effective planning, compliance, and execution. By supporting sales, managing pricing strategies, and coordinating with global stakeholders, the role ensures financial performance, market competitiveness…"
no,,,49,Digital Product Manager - Band 2,Procter & Gamble,"Mumbai, Maharashtra",https://www.adzuna.in/details/5849327883?utm_medium=api&utm_source=195aa6d0,36,37,30,weak,0.08,0/0,,"[{""need"": ""band"", ""gain"": 1}, {""need"": ""mumbai general"", ""gain"": 1}, {""need"": ""general office"", ""gain"": 1}, {""need"": ""office full"", ""gain"": 1}, {""need"": ""time r000156471"", ""gain"": 1}]",,"{""skill_match"": 0.1648, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T11:19:15Z,,,,[],[],[],[],[],[],,,,"office, simple, three, innovation, r000156471, location, description, founded, soap, candle, today, world",unknown,unknown,,no experience requirement found in the available text,"MUMBAI GENERAL OFFICE Full time R000156471 Job Location MUMBAI GENERAL OFFICE Job Description P&G was founded over 180 years ago as a simple soap and candle company. Today, we're the world's largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We've spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship. The insight, innovation and passion of hardworking teams have helped us grow …"
no,,,49,Program Manager,Veradigm,"Pune, Maharashtra",https://www.adzuna.in/details/5848370461?utm_medium=api&utm_source=195aa6d0,36,46,30,weak,0.08,0/0,,"[{""need"": ""program manager"", ""gain"": 1}, {""need"": ""title"", ""gain"": 1}, {""need"": ""program manager location"", ""gain"": 1}, {""need"": ""primary site leadership"", ""gain"": 1}, {""need"": ""relocation provided"", ""gain"": 1}]",,"{""skill_match"": 0.1648, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-19T20:50:59Z,,,,[],[],[],[],[],[],,,,"program, need, title, location, site, responsibility, relocation, provided, executive, managing, director, veradigm",unknown,unknown,,no experience requirement found in the available text,"Role Title: Program Manager / Sr. Program Manager Location: Pune, India (Primary site leadership responsibility); relocation provided if need Reports To: Executive Leadership - Managing Director India Operations About this role Veradigm India has a lot of transformation underway. AI-augmented capability hub building, integrated operations and operational excellence, talent development and culture building programs - each with its own stakeholders, timelines, and interdependencies. What we need …"
no,,,49,Project Manager,The Souled Store,"Mumbai, Maharashtra",https://www.adzuna.in/land/ad/5848119799?se=CJhcCBWd8RGxXYNxRrq1QQ&utm_medium=api&utm_source=195aa6d0&v=6883A7968C5E8D70F24B32D2135DFA12CF7057B1,30,28,34,weak,0.14,0/0,,"[{""need"": ""project manager"", ""gain"": 1}, {""need"": ""manager designation"", ""gain"": 1}, {""need"": ""designation manager"", ""gain"": 1}, {""need"": ""retail projects"", ""gain"": 1}, {""need"": ""projects location"", ""gain"": 1}]",Unverifiable mandatory gate — confirm manually: licence/certification,"{""skill_match"": 0.1667, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-19T17:13:22Z,,,,[],[],[],[],[],[],,,,"youth, brand, designation, projects, location, mumbai/delhi, souled, store, homegrown, casual-wear, merchandising, platforms",unknown,unknown,,no experience requirement found in the available text,"Designation – Manager – Retail Projects Location - Mumbai/Delhi About Us: The Souled Store is a homegrown youth casual-wear brand started in 2013. We are one of India’s largest online merchandising platforms with licenses like Disney, Warner Bros., WWE, IPL, Viacom18 to name a few. Apart from selling products with themed designs such as superheroes, movies, TV shows, and cartoons, the brand also is at the forefront of the latest youth style and fashion trends.In addition to our core men’s and w…"
no,,,48,Technical Product Manager,2070Health,"Bangalore, Karnataka",https://www.adzuna.in/details/5849524364?utm_medium=api&utm_source=195aa6d0,35,46,27,weak,0.08,0/0,,"[{""need"": ""2070health"", ""gain"": 2}, {""need"": ""health"", ""gain"": 2}, {""need"": ""first healthcare-focused"", ""gain"": 2}, {""need"": ""healthcare-focused venture"", ""gain"": 2}, {""need"": ""venture studio"", ""gain"": 2}]",,"{""skill_match"": 0.1625, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T16:03:32Z,,,,[],[],[],[],[],[],,,,"health, venture, companies, healthcare-focused, innovation, creates, transformative, healthcare, ground, unlike, accelerator, deeply",unknown,unknown,,no experience requirement found in the available text,"About 2070Health 2070 Health has built India’s first healthcare-focused Venture Studio — an innovation platform that creates transformative healthcare companies from the ground up. Unlike an accelerator, the studio is deeply involved in idea generation, day-to-day operations, and strategic decisions across every venture it builds. Companies incubated in the last 24 months include Elevate Now , Nivaan Care , Reveal Healthtech , BabyMD , and Everhope Oncology . About this role We are looking for …"
no,,,48,Project Manager,Aptita,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5849577515?se=PKWXBBWd8RGhArhxtbtVlg&utm_medium=api&utm_source=195aa6d0&v=1840E66ADCAA7FB97431D7ABA84969268E227139,34,49,27,weak,0.08,0/0,,"[{""need"": ""project manager location"", ""gain"": 2}, {""need"": ""bangalore"", ""gain"": 2}, {""need"": ""wfo"", ""gain"": 2}, {""need"": ""shift"", ""gain"": 2}, {""need"": ""30pm"", ""gain"": 2}]",,"{""skill_match"": 0.1429, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T17:56:33Z,,,,[],[],[],[],[],[],,,,"location, bangalore, shift, project, high, proficiency, visio, quantitative, qualitative, governance, large-scale, payment",unknown,unknown,,no experience requirement found in the available text,"Location - Bangalore (WFO) Shift - 2:30pM TO 10:30PM JD: Project Management High Proficiency in Business Process Mapping in MS Visio, Data & Analytics (quantitative/ qualitative analytics) PMO Governance Experience Experience with Large-Scale Payment Modernization Programs"
no,,,47,Project Manager,Floatex Solar,"Delhi, India",https://www.adzuna.in/land/ad/5849577226?se=CJhcCBWd8RGxXYNxRrq1QQ&utm_medium=api&utm_source=195aa6d0&v=3D200FB4EBFEA1E32E0CA7FC8847A854928D9025,28,27,29,weak,0.14,0/0,,"[{""need"": ""project manager key"", ""gain"": 1}, {""need"": ""client relationship"", ""gain"": 1}, {""need"": ""relationship project"", ""gain"": 1}, {""need"": ""project review"", ""gain"": 1}, {""need"": ""review meetings"", ""gain"": 1}]",,"{""skill_match"": 0.1231, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T17:56:04Z,,,,[],[],[],[],[],[],,,,"project, review, meetings, schedules, relationship, represent, floatex, prms, weekly, reviews, coordination, calls",unknown,unknown,,no experience requirement found in the available text,"Key Responsibilities Client Relationship & Project Review Meetings CLIENT & REVIEW Represent Floatex in all project review meetings — PRMs, weekly reviews, coordination calls — with authority to commit to schedules and corrective actions Prepare and present project status reports, recovery plans, and commissioning schedules to client management; submissions are never late Manage client expectations proactively — flag risks before they become crises; no missed milestone should ever be a surprise…"
no,,,46,Senior Technical Program Manager,Mastercard,"Pune, India",https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Senior-Technical-Program-Manager_R-288519,33,27,44,borderline,0.39,1/12,"incident management, postmortem reviews, execution, corrective actions, essential, suspected information, information security, security violation, breach, periodic mandatory, mandatory security","[{""need"": ""incident management"", ""gain"": 1}, {""need"": ""postmortem reviews"", ""gain"": 1}, {""need"": ""execution"", ""gain"": 1}, {""need"": ""corrective actions"", ""gain"": 1}, {""need"": ""essential"", ""gain"": 1}]",,"{""skill_match"": 0.0921, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,workday,direct,,,Posted Today,,,,[],[],[],[],[],[],,,,"program, technical, mastercard, programs, security, planning, platforms, large-scale, initiatives, execution, operational, information",good_fit,inferred,6-10,"asks for 6-10 years, you have 4","Our Purpose Mastercard powers economies and empowers people in 200&#43; countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential. Title and Summary Senior Technical Program Manager Overview • The Decision Management program enables intelligent decision-based products through streaming analytics with the ability to govern decisions and manage outcomes with business agility. • This program leverages business rules and AI engines, streaming big data platforms, in-memory data grids, APIs, cloud-native services, and modern user interfaces to deliver real-time decisions at global scale. • This role is responsible for driving large-scale cross-functional programs, aligning engineering, product, data science, and business stakeholders, and ensuring successful delivery of strategic initiatives. • The Technical Program Manager will provide leadership across multiple teams, help define execution strategy, identify and mitigate risks, and drive operational excellence across the program lifecycle. We are looking for a **Technical Program Manager** to join our Decision Management Platform (DMP) team. • Are you passionate about driving complex technical programs from conception to delivery? • Do you enjoy collaborating with engineering, product, architecture, operations, and business stakeholders to achieve strategic outcomes? • Are you excited about working on large-scale, mission-critical systems that process millions of transactions in real time? • Do you want to play a key role in helping prevent fraud and enable intelligent decisioning across Mastercard products worldwide? Role • Lead end-to-end execu"
no,,,45,Senior Product Manager (Commerce Platform Building),Glance,"Bangalore, Karnataka",https://www.adzuna.in/details/5849675664?utm_medium=api&utm_source=195aa6d0,34,28,25,weak,0.14,0/0,,"[{""need"": ""commerce platform building"", ""gain"": 2}, {""need"": ""glance ai"", ""gain"": 2}, {""need"": ""ai commerce"", ""gain"": 2}, {""need"": ""commerce platform"", ""gain"": 2}, {""need"": ""platform shaping"", ""gain"": 2}]",,"{""skill_match"": 0.0773, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",unknown,unknown,,adzuna,aggregator,,,2026-08-20T20:42:59Z,,,,[],[],[],[],[],[],,,,"glance, commerce, shaping, wave, e-commerce, inspiration-led, shopping, less, searching, want, discovering, could",good_fit,inferred,6-10,"asks for 6-10 years, you have 4","Glance AI is an AI commerce platform shaping the next wave of e-commerce with inspiration-led shopping, less about searching for what you want and more about discovering who you could be. Operating in 140 countries, Glance AI transforms every screen into a stage for instant, personal, and joyful discovery, where inspiration becomes something you can explore, feel, and shop in the moment. Its proprietary models, seamlessly integrated with Google’s most advanced AI platforms, Gemini and Imagen on…"
